127.0.0.1 - - [01/Nov/2015:09:26:19 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [01/Nov/2015:09:26:20 +0530] "GET /main/ HTTP/1.1" 200 7103
0:0:0:0:0:0:0:1 - - [01/Nov/2015:09:26:20 +0530] "GET /main/style.css HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [01/Nov/2015:09:26:20 +0530] "GET /main/images/globe_12.gif HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [01/Nov/2015:09:26:20 +0530] "GET /main/images/globe_10.gif HTTP/1.1" 200 17328
0:0:0:0:0:0:0:1 - - [01/Nov/2015:09:26:20 +0530] "GET /main/images/globe_16.gif HTTP/1.1" 200 5523
0:0:0:0:0:0:0:1 - - [01/Nov/2015:09:26:21 +0530] "GET /main/images/globe_05.jpg HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [01/Nov/2015:09:26:21 +0530] "GET /main/images/globe_03.gif HTTP/1.1" 200 43705
0:0:0:0:0:0:0:1 - - [01/Nov/2015:09:26:21 +0530] "GET /main/images/globe_06.jpg HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [01/Nov/2015:09:26:21 +0530] "GET /main/images/image_04.gif HTTP/1.1" 200 4497
0:0:0:0:0:0:0:1 - - [01/Nov/2015:09:26:21 +0530] "GET /main/images/Tulips.jpg HTTP/1.1" 200 620888
0:0:0:0:0:0:0:1 - - [01/Nov/2015:09:26:21 +0530] "GET /main/images/image_05.gif HTTP/1.1" 200 4337
0:0:0:0:0:0:0:1 - - [01/Nov/2015:09:26:21 +0530] "GET /main/images/bullet.png HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [01/Nov/2015:09:26:21 +0530] "GET /main/images/image_03.gif HTTP/1.1" 200 3869
0:0:0:0:0:0:0:1 - - [01/Nov/2015:09:26:57 +0530] "GET /main/ HTTP/1.1" 200 7103
0:0:0:0:0:0:0:1 - - [01/Nov/2015:09:26:57 +0530] "GET /main/style.css HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [01/Nov/2015:09:26:57 +0530] "GET /main/images/globe_12.gif HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [01/Nov/2015:09:26:57 +0530] "GET /main/images/globe_10.gif HTTP/1.1" 200 17328
