127.0.0.1 - - [25/Aug/2016:21:42:11 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [25/Aug/2016:21:42:13 +0530] "GET /CSSDemo/test.html HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [25/Aug/2016:21:46:05 +0530] "GET /CSSDemo/test.html HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [25/Aug/2016:21:46:06 +0530] "GET /CSSDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:21:46:06 +0530] "GET /CSSDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:21:46:25 +0530] "GET /CSSDemo/test.html HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [25/Aug/2016:21:46:26 +0530] "GET /CSSDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:21:46:26 +0530] "GET /CSSDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:21:46:27 +0530] "GET /CSSDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:21:46:34 +0530] "GET /CSSDemo/test.html HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [25/Aug/2016:21:46:35 +0530] "GET /CSSDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:21:46:35 +0530] "GET /CSSDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:21:46:44 +0530] "GET /CSSDemo/test.html HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [25/Aug/2016:21:47:24 +0530] "GET /CSSDemo/test.html HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [25/Aug/2016:21:47:25 +0530] "GET /CSSDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:21:47:25 +0530] "GET /CSSDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:21:47:25 +0530] "GET /CSSDemo/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:21:47:25 +0530] "GET /CSSDemo/test.html HTTP/1.1" 304 -
